;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_3weeks;flag_stk_cpq
0;10395;2020-02-05;0.026406666666666665;0.0;10.0;0.0026406666666666666;0.015114333333333332;1;;;0.012473666666666666;;;0.0
1;10402;2020-02-05;0.037858333333333334;0.0;11.0;0.0034416666666666667;0.019698787878787875;1;;;0.01625712121212121;;;
2;13713;2020-02-05;0.23230499999999998;2.0;4.0;-2.20961875;-2.9039008333333336;1;;;-0.6942820833333334;;;
3;13720;2020-02-05;0.12647166666666668;0.0;5.0;0.025294333333333335;-2.6758416666666665;1;;;-2.701136;;;0.0
4;13734;2020-02-05;0.479705;0.0;6.0;0.07995083333333333;-2.6545111111111113;1;;;-2.7344619444444445;;;
5;13762;2020-02-05;0.1774366666666667;0.0;5.0;0.035487333333333336;-0.6449320000000001;1;;;-0.6804193333333334;;;0.0
6;13776;2020-02-05;0.040093333333333335;0.0;6.0;0.006682222222222222;0.03897055555555556;1;;;0.032288333333333336;;;0.0
7;13783;2020-02-05;0.31174666666666667;0.0;6.0;0.051957777777777776;-5.2178177777777766;1;;;-5.2697755555555545;;;0.0
8;13790;2020-02-05;0.0;0.0;3.0;0.0;0.0;1;;;0.0;;;
9;13930;2020-02-05;0.03283833333333333;0.0;4.0;0.008209583333333333;0.03224249999999999;1;;;0.02403291666666666;;;
10;13944;2020-02-05;0.053765;1.0;4.0;-1.18279375;-2.31411625;1;;;-1.1313225;;;
11;13951;2020-02-05;0.024139999999999998;0.0;2.0;0.012069999999999999;0.07039083333333332;1;;;0.05832083333333332;;;
12;13972;2020-02-05;0.04061666666666667;0.0;8.0;0.005077083333333334;0.03016479166666667;1;;;0.025087708333333337;;;0.0
13;15841;2020-02-05;0.0006827333333333333;0.0;2.0;0.00034136666666666665;0.0015033333333333335;1;;;0.001161966666666667;;;0.0
14;15883;2020-02-05;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;
15;17885;2020-02-05;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;
16;24262;2020-02-05;0.011705;0.0;1.0;0.011705;0.05554333333333333;1;;;0.04383833333333333;;;0.0
17;44821;2020-02-05;0.03594666666666667;0.0;4.0;0.008986666666666667;0.0426425;1;;;0.03365583333333333;;;0.0
18;63812;2020-02-05;0.029363333333333335;0.0;4.0;0.007340833333333334;0.041408333333333325;1;;;0.034067499999999994;;;0.0
19;84595;2020-02-05;0.0;0.0;4.0;0.0;0.0048316666666666655;1;;;0.0048316666666666655;;;
20;84602;2020-02-05;0.0;0.0;4.0;0.0;0.0;1;;;0.0;;;
21;138502;2020-02-05;0.02315666666666667;0.0;2.0;0.011578333333333335;0.05550916666666667;1;;;0.043930833333333336;;;0.0
22;151473;2020-02-05;0.9691333333333333;0.0;30.0;0.03230444444444444;-1.7930256111111116;1;;;-1.825330055555556;;;
23;158291;2020-02-05;59.08222833333334;0.0;610.0;0.09685611202185794;0.6443399207650273;1;;;0.5474838087431694;;;0.0
24;158382;2020-02-05;0.0;0.0;9.0;0.0;0.0;1;;;0.0;;;
25;158473;2020-02-05;0.213175;0.0;38.0;0.005609868421052632;0.037276315789473685;1;;;0.03166644736842105;;;0.0
26;159201;2020-02-05;0.04236500000000001;0.0;35.0;0.0012104285714285717;0.008043;1;;;0.0068325714285714274;;;
27;159362;2020-02-05;0.0;0.0;13.0;0.0;0.002357435897435898;1;;;0.002357435897435898;;;
28;159621;2020-02-05;0.124565;0.0;3.0;0.041521666666666665;0.1914077777777778;1;;;0.1498861111111111;;;0.0
29;160412;2020-02-05;0.0;0.0;30.0;0.0;0.0;1;;;0.0;;;
30;168756;2020-02-05;0.51116;1.0;3.0;-0.8147333333333334;-3.7767911111111117;1;;;-2.9620577777777783;;;
31;180131;2020-02-05;0.015935;0.0;20.0;0.00079675;0.003966833333333333;1;;;0.003170083333333333;;;0.0
32;191450;2020-02-05;0.199945;0.0;40.0;0.0049986250000000005;0.03321458333333334;1;;;0.028215958333333336;;;0.0
33;191702;2020-02-05;0.0;0.0;28.0;0.0;0.0;1;;;0.0;;;
34;195720;2020-02-05;0.05056666666666667;0.0;2.0;0.025283333333333335;-2.3727074999999997;1;;;-2.397990833333333;;;0.0
35;195783;2020-02-05;0.038068333333333336;1.0;2.0;-2.4048291666666666;-2.318615;1;;;0.08621416666666666;;;
36;212520;2020-02-05;0.0;0.0;2.0;0.0;0.0022241666666666677;1;;;0.0022241666666666677;;;
37;212555;2020-02-05;0.16273166666666666;0.0;4.0;0.040682916666666666;-0.635047916666667;1;;;-0.6757308333333337;;;
38;235193;2020-02-05;0.03641833333333333;0.0;3.0;0.012139444444444444;0.06486888888888889;1;;;0.05272944444444445;;;0.0
39;251650;2020-02-05;0.010338333333333333;0.0;3.0;0.003446111111111111;0.02981777777777778;1;;;0.026371666666666668;;;
40;256431;2020-02-05;0.06654499999999999;0.0;2.0;0.033272499999999997;-2.383508333333334;1;;;-2.4167808333333336;;;0.0
41;256445;2020-02-05;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;0.0
42;256501;2020-02-05;0.07071499999999999;0.0;1.0;0.07071499999999999;0.34768499999999997;1;;;0.27697;;;
43;262766;2020-02-05;1.1790033333333334;4.0;20.0;-0.7052491666666667;-0.5104234166666667;1;;;0.19482575;;;0.0
44;262822;2020-02-05;0.22678500000000001;0.0;12.0;0.018898750000000002;0.07547930555555556;1;;;0.05658055555555555;;;
45;265573;2020-02-05;0.013531666666666666;0.0;4.0;0.0033829166666666665;0.018678333333333328;1;;;0.015295416666666662;;;0.0
46;269094;2020-02-05;0.0051649999999999995;0.0;3.0;0.0017216666666666665;0.010058888888888888;1;;;0.008337222222222222;;;0.0
47;271096;2020-02-05;0.0;0.0;5.0;0.0;0.0;1;;;0.0;;;0.0
48;272741;2020-02-05;0.05826166666666666;0.0;6.0;0.009710277777777778;0.04009222222222223;1;;;0.03038194444444445;;;0.0
49;273882;2020-02-05;0.010476666666666667;0.0;3.0;0.0034922222222222225;0.01999111111111111;1;;;0.016498888888888886;;;0.0
50;295680;2020-02-05;0.0;0.0;27.0;0.0;0.0;1;;;0.0;;;
51;298893;2020-02-05;0.02165;0.0;6.0;0.003608333333333333;0.028443055555555555;1;;;0.024834722222222223;;;
52;298956;2020-02-05;0.1892;0.0;5.0;0.03784;0.298269;1;;;0.260429;;;
53;299110;2020-02-05;0.007931666666666667;0.0;3.0;0.0026438888888888888;0.02084055555555556;1;;;0.01819666666666667;;;0.0
54;299131;2020-02-05;0.02811;0.0;5.0;0.005622;0.04431466666666667;1;;;0.03869266666666667;;;
55;299152;2020-02-05;0.11460833333333333;0.0;17.0;0.006741666666666667;0.05314019607843138;1;;;0.04639852941176471;;;0.0
56;299173;2020-02-05;0.004985000000000001;0.0;4.0;0.0012462500000000002;0.009824583333333334;1;;;0.008578333333333334;;;
57;299201;2020-02-05;0.0;0.0;4.0;0.0;0.0;1;;;0.0;;;
58;299222;2020-02-05;0.03908166666666667;0.0;3.0;0.013027222222222223;0.037216111111111116;1;;;0.02418888888888889;;;0.0
59;299831;2020-02-05;0.11312666666666667;0.0;5.0;0.022625333333333334;0.12906666666666666;1;;;0.10644133333333332;;;
60;299866;2020-02-05;0.049076666666666664;0.0;5.0;0.009815333333333332;0.05427266666666665;1;;;0.04445733333333332;;;0.0
61;299894;2020-02-05;0.058771666666666667;0.0;4.0;0.014692916666666667;-1.1547645833333329;1;;;-1.1694574999999996;;;
62;299964;2020-02-05;0.04235166666666667;0.0;2.0;0.021175833333333335;0.11709166666666668;1;;;0.09591583333333334;;;
