;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk
58;280196;2020-01-03;0.0;0.0;2.0;0.0;0.0;1;;
59;295680;2020-01-03;0.023101666666666663;0.0;27.0;0.0008556172839506172;0.0008556172839506172;1;;
60;297360;2020-01-03;0.0;0.0;2.0;0.0;0.0;1;;
61;298956;2020-01-03;0.014916666666666667;0.0;5.0;0.0029833333333333335;0.0029833333333333335;1;;
62;299054;2020-01-03;0.08715166666666667;0.0;10.0;0.008715166666666666;0.008715166666666666;1;;
63;299075;2020-01-03;0.023635;0.0;8.0;0.002954375;0.002954375;1;;
64;299110;2020-01-03;0.026373333333333335;0.0;3.0;0.008791111111111112;0.008791111111111112;1;;
65;299131;2020-01-03;0.01788;0.0;5.0;0.003576;0.003576;1;;
66;299152;2020-01-03;0.10276;0.0;17.0;0.006044705882352942;0.006044705882352942;1;;
67;299173;2020-01-03;0.060239999999999995;0.0;4.0;0.015059999999999999;0.015059999999999999;1;;
68;299201;2020-01-03;0.03142166666666667;0.0;4.0;0.007855416666666667;0.007855416666666667;1;;
69;299222;2020-01-03;0.0;0.0;3.0;0.0;0.0;1;;
70;299831;2020-01-03;0.23391499999999998;0.0;5.0;0.046783;0.046783;1;;
71;299866;2020-01-03;0.16845666666666667;0.0;5.0;0.03369133333333334;0.03369133333333334;1;;
72;299894;2020-01-03;0.07632666666666667;1.0;4.0;-1.1545916666666667;-1.1545916666666667;1;;
73;299915;2020-01-03;0.0;0.0;2.0;0.0;0.0;1;;
74;299964;2020-01-03;0.038990000000000004;0.0;2.0;0.019495000000000002;0.019495000000000002;1;;
75;299992;2020-01-03;0.034236666666666665;0.0;2.0;0.017118333333333333;0.017118333333333333;1;;
76;300342;2020-01-03;0.03893666666666667;0.0;2.0;0.019468333333333334;0.019468333333333334;1;;
77;300356;2020-01-03;0.018256666666666668;0.0;5.0;0.0036513333333333337;0.0036513333333333337;1;;
78;300363;2020-01-03;0.051893333333333326;0.0;10.0;0.005189333333333332;0.005189333333333332;1;;
79;300370;2020-01-03;0.0;0.0;5.0;0.0;0.0;1;;
80;300391;2020-01-03;0.02696833333333333;0.0;4.0;0.006742083333333333;0.006742083333333333;1;;
81;300405;2020-01-03;0.0;0.0;4.0;0.0;0.0;1;;
82;300412;2020-01-03;0.0;0.0;4.0;0.0;0.0;1;;
83;300433;2020-01-03;0.01772;0.0;6.0;0.0029533333333333334;0.0029533333333333334;1;;
84;300461;2020-01-03;0.08407166666666667;0.0;3.0;0.02802388888888889;0.02802388888888889;1;;
85;300496;2020-01-03;0.0035116666666666664;0.0;4.0;0.0008779166666666666;0.0008779166666666666;1;;
86;300545;2020-01-03;0.009311666666666668;0.0;3.0;0.003103888888888889;0.003103888888888889;1;;
87;300615;2020-01-03;0.04433;0.0;2.0;0.022165;0.022165;1;;
88;300622;2020-01-03;0.08668333333333333;0.0;3.0;0.028894444444444445;0.028894444444444445;1;;
89;302463;2020-01-03;0.122915;0.0;5.0;0.024583;0.024583;1;;
90;303653;2020-01-03;0.06241;0.0;5.0;0.012482;0.012482;1;;
91;303660;2020-01-03;0.17939333333333332;0.0;4.0;0.04484833333333333;0.04484833333333333;1;;
92;307496;2020-01-03;0.13513333333333333;0.0;2.0;0.06756666666666666;0.06756666666666666;1;;
93;341061;2020-01-03;0.36955999999999994;0.0;2.0;0.18477999999999997;0.18477999999999997;1;;
94;343014;2020-01-03;0.13251333333333334;0.0;2.0;0.06625666666666667;0.06625666666666667;1;;
95;348054;2020-01-03;0.0065249999999999996;0.0;3.0;0.002175;0.002175;1;;
96;348075;2020-01-03;0.06013333333333334;0.0;3.0;0.020044444444444445;0.020044444444444445;1;;
97;348236;2020-01-03;0.015821666666666668;0.0;3.0;0.00527388888888889;0.00527388888888889;1;;
98;351701;2020-01-03;0.02791666666666667;0.0;1.0;0.02791666666666667;0.02791666666666667;1;;
99;356020;2020-01-03;0.0;0.0;2.0;0.0;0.0;1;;
100;384426;2020-01-03;0.0;0.0;6.0;0.0;0.0;1;;
101;384440;2020-01-03;0.04031833333333333;0.0;7.0;0.005759761904761905;0.005759761904761905;1;;
102;392042;2020-01-03;0.03206;0.0;3.0;0.010686666666666665;0.010686666666666665;1;;
103;392091;2020-01-03;0.9261300000000001;0.0;8.0;0.11576625000000001;0.11576625000000001;1;;
104;392112;2020-01-03;0.10791833333333334;0.0;2.0;0.05395916666666667;0.05395916666666667;1;;
105;392126;2020-01-03;0.023978333333333334;0.0;2.0;0.011989166666666667;0.011989166666666667;1;;
106;397922;2020-01-03;0.0;0.0;3.0;0.0;0.0;1;;
107;402864;2020-01-03;0.01911166666666667;0.0;1.0;0.01911166666666667;0.01911166666666667;0;;0.0
108;407960;2020-01-03;0.03838833333333334;0.0;1.0;0.03838833333333334;0.03838833333333334;1;;
109;411404;2020-01-03;0.06826166666666666;0.0;2.0;0.03413083333333333;0.03413083333333333;1;;
110;413252;2020-01-03;0.061768333333333335;0.0;2.0;0.030884166666666667;0.030884166666666667;1;;
111;421421;2020-01-03;0.07382;0.0;2.0;0.03691;0.03691;1;;
112;427323;2020-01-03;0.8134366666666666;4.0;2.0;-7.966408333333334;-7.966408333333334;1;;
113;436961;2020-01-03;0.041113333333333335;0.0;20.0;0.0020556666666666666;0.0020556666666666666;1;;
114;436982;2020-01-03;0.07590833333333334;0.0;26.0;0.0029195512820512823;0.0029195512820512823;1;;
115;437024;2020-01-03;0.6408066666666666;0.0;22.0;0.029127575757575755;0.029127575757575755;1;;
116;437031;2020-01-03;0.07096499999999999;0.0;40.0;0.0017741249999999997;0.0017741249999999997;1;;
117;437234;2020-01-03;0.2006433333333333;0.0;16.0;0.012540208333333332;0.012540208333333332;1;;
118;437416;2020-01-03;0.03682666666666667;0.0;32.0;0.0011508333333333334;0.0011508333333333334;1;;
119;437542;2020-01-03;0.160205;0.0;30.0;0.005340166666666666;0.005340166666666666;1;;
120;437556;2020-01-03;0.20328333333333334;0.0;30.0;0.006776111111111111;0.006776111111111111;1;;
121;437626;2020-01-03;1.0214683333333332;16.0;70.0;-1.0698951190476191;-1.0698951190476191;1;;
122;437654;2020-01-03;4.607036666666667;8.0;46.0;-0.3688003623188406;-0.3688003623188406;1;;
123;437661;2020-01-03;0.007221666666666667;0.0;24.0;0.0003009027777777778;0.0003009027777777778;1;;
124;437675;2020-01-03;1.249495;-1.0;32.0;0.07029671875;0.07029671875;1;;
125;437801;2020-01-03;0.06762833333333333;0.0;15.0;0.004508555555555556;0.004508555555555556;1;;
126;440706;2020-01-03;0.08020166666666667;0.0;5.0;0.016040333333333334;0.016040333333333334;1;;
127;440734;2020-01-03;0.10742166666666668;0.0;2.0;0.05371083333333334;0.05371083333333334;1;;
128;449015;2020-01-03;0.022296666666666663;0.0;2.0;0.011148333333333331;0.011148333333333331;1;;
129;453915;2020-01-03;0.366775;0.0;4.0;0.09169375;0.09169375;1;;
130;464835;2020-01-03;0.06182166666666667;0.0;5.0;0.012364333333333335;0.012364333333333335;1;;
131;464842;2020-01-03;0.008610000000000001;0.0;3.0;0.0028700000000000006;0.0028700000000000006;1;;
132;506170;2020-01-03;0.14546;0.0;3.0;0.04848666666666667;0.04848666666666667;1;;
133;515452;2020-01-03;0.033695;0.0;1.0;0.033695;0.033695;1;;
134;515480;2020-01-03;0.12083166666666666;0.0;1.0;0.12083166666666666;0.12083166666666666;1;;
135;515494;2020-01-03;0.037815;0.0;1.0;0.037815;0.037815;1;;
136;515515;2020-01-03;0.05937666666666666;0.0;1.0;0.05937666666666666;0.05937666666666666;1;;
137;515522;2020-01-03;0.01282;0.0;1.0;0.01282;0.01282;1;;
138;515536;2020-01-03;0.04587333333333333;0.0;1.0;0.04587333333333333;0.04587333333333333;1;;
139;515550;2020-01-03;0.029058333333333335;0.0;2.0;0.014529166666666668;0.014529166666666668;1;;
140;515592;2020-01-03;0.0;0.0;2.0;0.0;0.0;1;;
141;515676;2020-01-03;0.0;0.0;1.0;0.0;0.0;1;;
142;517783;2020-01-03;0.07327333333333333;0.0;4.0;0.018318333333333332;0.018318333333333332;1;;
143;517804;2020-01-03;0.1281766666666667;0.0;4.0;0.03204416666666667;0.03204416666666667;1;;
144;518133;2020-01-03;0.03522666666666666;0.0;2.0;0.01761333333333333;0.01761333333333333;0;;0.0
145;518350;2020-01-03;0.26186499999999996;1.0;1.0;-3.6906749999999997;-3.6906749999999997;1;;
146;521696;2020-01-03;0.004835;0.0;1.0;0.004835;0.004835;1;;
147;521745;2020-01-03;0.023451666666666666;0.0;2.0;0.011725833333333333;0.011725833333333333;1;;
148;521752;2020-01-03;0.06166666666666667;0.0;3.0;0.020555555555555556;0.020555555555555556;1;;
149;521773;2020-01-03;0.01282;0.0;1.0;0.01282;0.01282;1;;
150;521780;2020-01-03;0.08768333333333334;0.0;2.0;0.04384166666666667;0.04384166666666667;1;;
151;521801;2020-01-03;0.008923333333333333;0.0;1.0;0.008923333333333333;0.008923333333333333;1;;
152;521836;2020-01-03;0.01774333333333333;0.0;1.0;0.01774333333333333;0.01774333333333333;1;;
153;521843;2020-01-03;0.026058333333333333;0.0;2.0;0.013029166666666666;0.013029166666666666;1;;
154;521871;2020-01-03;0.03155666666666667;0.0;1.0;0.03155666666666667;0.03155666666666667;1;;
155;521885;2020-01-03;0.019916666666666666;0.0;1.0;0.019916666666666666;0.019916666666666666;1;;
156;526246;2020-01-03;0.11568833333333334;0.0;4.0;0.028922083333333334;0.028922083333333334;1;;
157;526372;2020-01-03;0.011583333333333334;0.0;1.0;0.011583333333333334;0.011583333333333334;1;;
158;528220;2020-01-03;0.69191;1.0;3.0;-0.5134833333333333;-0.5134833333333333;1;;
159;528255;2020-01-03;0.104545;1.0;5.0;-0.895455;-0.895455;1;;
160;530061;2020-01-03;0.09661833333333335;0.0;3.0;0.032206111111111116;0.032206111111111116;1;;
161;530075;2020-01-03;0.3008983333333333;0.0;3.0;0.10029944444444444;0.10029944444444444;1;;
162;530082;2020-01-03;0.19948;0.0;4.0;0.04987;0.04987;1;;
163;530334;2020-01-03;0.0;0.0;1.0;0.0;0.0;1;;
164;551432;2020-01-03;0.17071666666666666;-1.0;4.0;0.29267916666666666;0.29267916666666666;1;;
165;556626;2020-01-03;0.25293;0.0;2.0;0.126465;0.126465;1;;
166;561533;2020-01-03;0.9110333333333333;0.0;13.0;0.07007948717948717;0.07007948717948717;1;;
167;561652;2020-01-03;1.2186216666666667;0.0;13.0;0.09374012820512821;0.09374012820512821;1;;
168;562520;2020-01-03;0.26159;0.0;7.0;0.03737;0.03737;1;;
169;562632;2020-01-03;0.285105;0.0;2.0;0.1425525;0.1425525;1;;
170;562653;2020-01-03;0.21346833333333334;0.0;20.0;0.010673416666666668;0.010673416666666668;1;;
171;562660;2020-01-03;0.036285;0.0;16.0;0.0022678125;0.0022678125;1;;
172;562723;2020-01-03;0.06012;0.0;18.0;0.00334;0.00334;1;;
173;571984;2020-01-03;0.14761166666666667;0.0;6.0;0.024601944444444444;0.024601944444444444;1;;
174;572005;2020-01-03;0.030950000000000002;0.0;5.0;0.00619;0.00619;1;;
175;572012;2020-01-03;0.059375000000000004;0.0;4.0;0.014843750000000001;0.014843750000000001;1;;
176;572033;2020-01-03;0.12789333333333333;0.0;4.0;0.03197333333333333;0.03197333333333333;1;;
177;579411;2020-01-03;0.162775;0.0;2.0;0.0813875;0.0813875;1;;
178;585046;2020-01-03;2.1089350000000002;0.0;2.0;1.0544675000000001;1.0544675000000001;1;;
179;585053;2020-01-03;0.10539;1.0;2.0;-2.236525;-2.236525;1;;
180;591150;2020-01-03;0.01911166666666667;0.0;2.0;0.009555833333333335;0.009555833333333335;1;;
181;591164;2020-01-03;0.04755500000000001;0.0;2.0;0.023777500000000003;0.023777500000000003;1;;
182;608965;2020-01-03;0.0;0.0;3.0;0.0;0.0;1;;
183;626633;2020-01-03;0.0;0.0;1.0;0.0;0.0;1;;
184;629060;2020-01-03;0.16785499999999998;0.0;5.0;0.033571;0.033571;1;;
185;632023;2020-01-03;0.0;0.0;1.0;0.0;0.0;1;;
186;632030;2020-01-03;0.0;0.0;2.0;0.0;0.0;1;;
187;645204;2020-01-03;0.02852;0.0;4.0;0.00713;0.00713;1;;
188;645211;2020-01-03;0.08031833333333334;0.0;3.0;0.02677277777777778;0.02677277777777778;1;;
189;645225;2020-01-03;0.06422833333333333;0.0;3.0;0.021409444444444443;0.021409444444444443;1;;
190;645281;2020-01-03;0.05127333333333334;0.0;3.0;0.017091111111111112;0.017091111111111112;1;;
