;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_3weeks;flag_stk_cpq
0;10395;2020-02-02;0.032146666666666664;0.0;10.0;0.0032146666666666665;0.006429333333333333;1;;;0.0032146666666666665;;;0.0
1;10402;2020-02-02;0.046086666666666665;0.0;11.0;0.004189696969696969;0.008379393939393938;1;;;0.004189696969696969;;;
2;13713;2020-02-02;0.298585;0.0;4.0;0.07464625;-0.8021225;1;;;-0.87676875;;;
3;13720;2020-02-02;0.16161833333333334;0.0;5.0;0.03232366666666667;0.06464733333333333;1;;;0.03232366666666667;;;
4;13734;2020-02-02;0.4480133333333333;0.0;6.0;0.07466888888888888;0.14933777777777776;1;;;0.07466888888888888;;;
5;13762;2020-02-02;0.21307;0.0;5.0;0.042614;-0.744316;1;;;-0.78693;;;0.0
6;13776;2020-02-02;0.05761333333333334;0.0;6.0;0.009602222222222224;0.019204444444444448;1;;;0.009602222222222224;;;0.0
7;13783;2020-02-02;0.34174;0.0;6.0;0.05695666666666666;0.11391333333333332;1;;;0.05695666666666666;;;
8;13790;2020-02-02;0.0;0.0;3.0;0.0;0.0;1;;;0.0;;;
9;13930;2020-02-02;0.023734999999999996;0.0;4.0;0.005933749999999999;0.011867499999999998;1;;;0.005933749999999999;;;
10;13944;2020-02-02;0.07892666666666667;0.0;4.0;0.019731666666666668;0.039463333333333336;1;;;0.019731666666666668;;;
11;13951;2020-02-02;0.034688333333333335;0.0;2.0;0.017344166666666667;0.034688333333333335;1;;;0.017344166666666667;;;
12;13972;2020-02-02;0.06003166666666667;0.0;8.0;0.007503958333333334;0.01500791666666667;1;;;0.007503958333333335;;;0.0
13;15841;2020-02-02;0.0006312166666666667;0.0;2.0;0.00031560833333333337;0.0006312166666666667;1;;;0.00031560833333333337;;;0.0
14;15883;2020-02-02;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;
15;17885;2020-02-02;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;
16;24262;2020-02-02;0.008033333333333333;0.0;1.0;0.008033333333333333;0.016066666666666667;1;;;0.008033333333333333;;;0.0
17;44821;2020-02-02;0.02819333333333333;0.0;4.0;0.007048333333333333;0.014096666666666665;1;;;0.007048333333333333;;;0.0
18;63812;2020-02-02;0.03340833333333333;0.0;4.0;0.008352083333333333;0.016704166666666666;1;;;0.008352083333333333;;;0.0
19;84595;2020-02-02;0.005521666666666667;0.0;4.0;0.0013804166666666667;0.0027608333333333335;1;;;0.0013804166666666667;;;
20;84602;2020-02-02;0.0;0.0;4.0;0.0;0.0;1;;;0.0;;;
21;138502;2020-02-02;0.019411666666666667;0.0;2.0;0.009705833333333334;0.019411666666666667;1;;;0.009705833333333334;;;0.0
22;151473;2020-02-02;0.842815;0.0;30.0;0.028093833333333332;-0.33143700000000004;1;;;-0.35953083333333336;;;
23;158291;2020-02-02;106.89890333333334;0.0;610.0;0.1752441038251366;0.3504882076502732;1;;;0.1752441038251366;;;0.0
24;158382;2020-02-02;0.0;0.0;9.0;0.0;0.0;1;;;0.0;;;
25;158473;2020-02-02;0.38505833333333334;0.0;38.0;0.01013311403508772;0.02026622807017544;1;;;0.01013311403508772;;;0.0
26;159201;2020-02-02;0.07652333333333332;0.0;35.0;0.002186380952380952;0.004372761904761904;1;;;0.002186380952380952;;;
27;159362;2020-02-02;0.011918333333333335;0.0;13.0;0.0009167948717948719;0.001833589743589744;1;;;0.000916794871794872;;;
28;159621;2020-02-02;0.12642499999999998;0.0;3.0;0.04214166666666666;0.08428333333333332;1;;;0.04214166666666666;;;0.0
29;160412;2020-02-02;0.0;0.0;30.0;0.0;0.0;1;;;0.0;;;
30;168756;2020-02-02;0.3056;1.0;3.0;-1.1573333333333333;-2.3146666666666667;1;;;-1.157333333333333;;;
31;180131;2020-02-02;0.014605;0.0;20.0;0.00073025;0.0014605;1;;;0.00073025;;;0.0
32;191450;2020-02-02;0.3611583333333333;0.0;40.0;0.009028958333333333;0.018057916666666667;1;;;0.009028958333333332;;;0.0
33;191702;2020-02-02;0.0;0.0;28.0;0.0;0.0;1;;;0.0;;;
34;195720;2020-02-02;0.02192166666666667;0.0;2.0;0.010960833333333335;-2.4342349999999997;1;;;-2.445195833333333;;;0.0
35;195783;2020-02-02;0.04478666666666666;0.0;2.0;0.02239333333333333;0.04478666666666666;1;;;0.02239333333333333;;;
36;212520;2020-02-02;0.0016683333333333333;0.0;2.0;0.0008341666666666667;0.0016683333333333333;1;;;0.0008341666666666668;;;
37;212555;2020-02-02;0.17015166666666667;0.0;4.0;0.04253791666666667;-0.9947725000000003;1;;;-1.037310416666667;;;0.0
38;235193;2020-02-02;0.04059;0.0;3.0;0.01353;0.02706;1;;;0.01353;;;0.0
39;251650;2020-02-02;0.022485;0.0;3.0;0.007495000000000001;0.014990000000000003;1;;;0.007495000000000002;;;
40;256431;2020-02-02;0.012486666666666667;0.0;2.0;0.006243333333333333;-2.46254;1;;;-2.4687833333333336;;;0.0
41;256445;2020-02-02;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;0.0
42;256501;2020-02-02;0.05893;0.0;1.0;0.05893;0.11785999999999999;1;;;0.058929999999999996;;;0.0
43;262766;2020-02-02;0.6793783333333333;0.0;20.0;0.03396891666666667;0.06793783333333334;1;;;0.03396891666666667;;;0.0
44;262822;2020-02-02;0.11304499999999999;0.0;12.0;0.009420416666666665;0.018840833333333327;1;;;0.009420416666666664;;;
