;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_3weeks;flag_stk_cpq
0;10395;2020-02-12;0.014499999999999999;0.0;10.0;0.00145;0.03092433333333333;1;;;0.02947433333333333;;;0.0
1;10402;2020-02-12;0.17151000000000002;0.0;11.0;0.015591818181818184;-1.7367068181818182;1;;;-1.7522986363636364;;;
2;13713;2020-02-12;0.5768066666666667;0.0;4.0;0.14420166666666667;-2.238002083333333;1;;;-2.3822037499999995;;;
3;13720;2020-02-12;0.4058683333333333;0.0;5.0;0.08117366666666666;-2.349081333333333;1;;;-2.4302549999999994;;;0.0
4;13734;2020-02-12;1.29165;7.0;6.0;-4.756958333333333;-6.67651388888889;1;;;-1.919555555555557;;;
5;13762;2020-02-12;0.42854833333333336;0.0;5.0;0.08570966666666667;-1.1008953333333333;1;;;-1.186605;;;
6;13776;2020-02-12;0.21541666666666667;0.0;6.0;0.035902777777777777;0.15421083333333332;1;;;0.11830805555555556;;;0.0
7;13783;2020-02-12;1.1407466666666666;0.0;6.0;0.19012444444444443;-5.125345555555554;1;;;-5.315469999999999;;;0.0
8;13790;2020-02-12;0.0;0.0;3.0;0.0;0.0;1;;;0.0;;;
9;13930;2020-02-12;0.07240666666666666;0.0;4.0;0.018101666666666665;0.37180874999999997;1;;;0.3537070833333333;;;
10;13944;2020-02-12;0.20322166666666666;1.0;4.0;-0.9959729166666667;-3.1719158333333333;1;;;-2.1759429166666666;;;
11;13951;2020-02-12;0.053226666666666665;0.0;2.0;0.026613333333333333;0.20207249999999996;1;;;0.17545916666666664;;;
12;13972;2020-02-12;0.1268733333333333;0.0;8.0;0.015859166666666664;-0.5098077083333334;1;;;-0.5256668750000001;;;0.0
13;15841;2020-02-12;0.0;0.0;2.0;0.0;0.003234549999999999;1;;;0.003234549999999999;;;0.0
14;15883;2020-02-12;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;
15;17885;2020-02-12;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;
16;24262;2020-02-12;0.0;0.0;1.0;0.0;0.11406833333333333;1;;;0.11406833333333333;;;0.0
17;44821;2020-02-12;0.03483166666666667;0.0;4.0;0.008707916666666668;0.10798708333333333;1;;;0.09927916666666667;;;0.0
18;63812;2020-02-12;0.05076166666666667;0.0;4.0;0.012690416666666668;-1.1171433333333334;1;;;-1.12983375;;;0.0
19;84595;2020-02-12;0.0;0.0;4.0;0.0;0.0048316666666666655;1;;;0.0048316666666666655;;;
20;84602;2020-02-12;0.0;0.0;4.0;0.0;0.0;1;;;0.0;;;
21;138502;2020-02-12;0.017765;0.0;2.0;0.0088825;0.13116583333333331;1;;;0.12228333333333333;;;0.0
22;151473;2020-02-12;2.8515183333333334;0.0;30.0;0.09505061111111111;-1.3608903333333338;1;;;-1.4559409444444449;;;
23;158291;2020-02-12;67.45183833333333;4.0;610.0;0.10401940710382512;1.3674306994535521;1;;;1.263411292349727;;;0.0
24;158382;2020-02-12;0.0;0.0;9.0;0.0;0.0;1;;;0.0;;;
25;158473;2020-02-12;0.539405;0.0;38.0;0.014194868421052631;-1.3298110526315787;1;;;-1.3440059210526314;;;0.0
26;159201;2020-02-12;0.038123333333333335;0.0;35.0;0.0010892380952380954;0.016576238095238095;1;;;0.015487;;;
27;159362;2020-02-12;0.0;0.0;13.0;0.0;0.002357435897435898;1;;;0.002357435897435898;;;
28;159621;2020-02-12;0.13112;0.0;3.0;0.043706666666666665;0.4968100000000001;1;;;0.4531033333333334;;;0.0
29;160412;2020-02-12;0.0;0.0;30.0;0.0;0.0;1;;;0.0;;;
30;168756;2020-02-12;0.44837166666666667;0.0;3.0;0.1494572222222222;-3.6451405555555567;0;;0.0;-3.794597777777779;;;0.0
31;180131;2020-02-12;0.011776666666666666;0.0;20.0;0.0005888333333333334;0.008968833333333332;1;;;0.008379999999999999;;;0.0
32;191450;2020-02-12;0.5239999999999999;0.0;40.0;0.013099999999999997;-1.269348166666667;1;;;-1.282448166666667;;;0.0
33;191702;2020-02-12;0.0;0.0;28.0;0.0;0.0;1;;;0.0;;;
34;195720;2020-02-12;0.03934833333333334;0.0;2.0;0.01967416666666667;-2.2069425;1;;;-2.2266166666666667;;;0.0
35;195783;2020-02-12;0.06429166666666666;0.0;2.0;0.03214583333333333;-4.530569166666668;1;;;-4.562715000000002;;;
36;212520;2020-02-12;0.0;0.0;2.0;0.0;0.002224166666666668;1;;;0.002224166666666668;;;
37;212555;2020-02-12;0.358805;0.0;4.0;0.08970125;-1.0343783333333336;1;;;-1.1240795833333337;;;0.0
38;235193;2020-02-12;0.03095666666666667;0.0;3.0;0.01031888888888889;0.14620388888888886;1;;;0.13588499999999998;;;0.0
39;251650;2020-02-12;0.0074;0.0;3.0;0.002466666666666667;0.05159888888888887;1;;;0.0491322222222222;;;
40;256431;2020-02-12;0.04738333333333333;0.0;2.0;0.023691666666666666;-2.1753075000000015;1;;;-2.198999166666668;;;0.0
41;256445;2020-02-12;0.0;0.0;1.0;0.0;0.0;1;;;0.0;;;0.0
42;256501;2020-02-12;0.07189333333333334;0.0;1.0;0.07189333333333334;0.8686200000000001;1;;;0.7967266666666667;;;
43;262766;2020-02-12;1.142415;0.0;20.0;0.05712075;-0.3729480833333332;1;;;-0.4300688333333332;;;0.0
44;262822;2020-02-12;0.17813833333333332;0.0;12.0;0.014844861111111109;0.19966277777777774;1;;;0.18481791666666664;;;
45;265573;2020-02-12;0.024495000000000003;0.0;4.0;0.006123750000000001;0.05235083333333333;1;;;0.046227083333333335;;;0.0
46;269094;2020-02-12;0.028281666666666667;0.0;3.0;0.009427222222222222;0.03730611111111111;1;;;0.02787888888888889;;;0.0
47;271096;2020-02-12;0.0;0.0;5.0;0.0;0.0;1;;;0.0;;;0.0
48;272741;2020-02-12;0.03301166666666667;0.0;6.0;0.005501944444444445;0.09788194444444444;1;;;0.09237999999999999;;;0.0
49;273882;2020-02-12;0.0;0.0;3.0;0.0;0.03710277777777778;1;;;0.03710277777777778;;;0.0
50;295680;2020-02-12;0.0;0.0;27.0;0.0;0.0;1;;;0.0;;;
51;298893;2020-02-12;0.04232833333333333;0.0;6.0;0.007054722222222222;0.06961555555555556;1;;;0.06256083333333333;;;
52;298956;2020-02-12;0.480555;0.0;5.0;0.096111;0.7742913333333334;1;;;0.6781803333333334;;;
53;299110;2020-02-12;0.020146666666666667;0.0;3.0;0.006715555555555555;0.05410111111111112;1;;;0.04738555555555556;;;0.0
54;299131;2020-02-12;0.07139666666666668;0.0;5.0;0.014279333333333335;0.11503833333333337;1;;;0.10075900000000003;;;
55;299152;2020-02-12;0.25310499999999997;0.0;17.0;0.014888529411764703;0.13347970588235297;1;;;0.11859117647058827;;;0.0
56;299173;2020-02-12;0.0;0.0;4.0;0.0;0.01917208333333334;1;;;0.01917208333333334;;;
57;299201;2020-02-12;0.0;0.0;4.0;0.0;0.0;1;;;0.0;;;
58;299222;2020-02-12;0.06730166666666666;0.0;3.0;0.02243388888888889;0.16024722222222224;1;;;0.13781333333333334;;;0.0
59;299831;2020-02-12;0.2976683333333333;0.0;5.0;0.059533666666666665;-2.5256129999999994;1;;;-2.5851466666666663;;;
60;299866;2020-02-12;0.08451333333333333;0.0;5.0;0.016902666666666667;0.14696966666666664;1;;;0.13006699999999996;;;0.0
61;299894;2020-02-12;0.10120833333333333;0.0;4.0;0.025302083333333333;-1.0160029166666658;1;;;-1.041304999999999;;;
62;299964;2020-02-12;0.064405;0.0;2.0;0.0322025;0.3085525000000001;1;;;0.2763500000000001;;;
